"user_id","rank","track_id","timeframe","track","artists","album","album_image","release_date","track_url"
"12120382831",1,"15EPc80XuFrb2LmOzGjuRg",Long,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink; Brent Faiyaz; Shy Glizzy,At What Cost,https://i.scdn.co/image/ab67616d0000b2737bcd3cd54e8399ae38cc6e64,"2017-03-24",https://open.spotify.com/track/15EPc80XuFrb2LmOzGjuRg
"12153521253",1,"1RMJOxR6GRPsBHL8qeC2ux",Long,Best Part (feat. H.E.R.),Daniel Caesar; H.E.R.,Freudian,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,"2017-08-25",https://open.spotify.com/track/1RMJOxR6GRPsBHL8qeC2ux
"12153521253",2,"4SkTfsjWUy2rp40d2Ayfmv",Long,Tired Boy,Joey Pecoraro,Tired Boy,https://i.scdn.co/image/ab67616d0000b273a8b83e7d164d59824a2acdfa,"2017-02-22",https://open.spotify.com/track/4SkTfsjWUy2rp40d2Ayfmv
"12120382831",2,"3oHkMCVJyOcjg5FhfLc2Rq",Long,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky; Moby; T.I.; Kid Cudi,TESTING,https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b,"2018-05-25",https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq
"12153521253",3,"21cEse3PJxwXCRqsh2Xk47",Long,Girlfriend,Jon Mcxro,The Fifth Of Never - Gold Cup Edition,https://i.scdn.co/image/ab67616d0000b273747f8edb8dd8361b5e66b522,"2012-05-29",https://open.spotify.com/track/21cEse3PJxwXCRqsh2Xk47
"12120382831",3,"0F02KChKwbcQ3tk4q1YxLH",Long,晴天,Jay Chou,葉惠美,https://i.scdn.co/image/ab67616d0000b2730629b1a5bb7437d50b8a9667,"2003-07-31",https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH
"12120382831",4,"20dP2DaMHIAmwWAbp7peSr",Long,pick up the phone,Young Thug; Travis Scott,Birds In The Trap Sing McKnight,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,"2016-09-16",https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
"12153521253",4,"70AvqwCfLnKMj3HvJDCXyW",Long,Your Eyes,Joey Pecoraro,Little Pear,https://i.scdn.co/image/ab67616d0000b273445f840f8df41ad4f1a35320,"2015-08-14",https://open.spotify.com/track/70AvqwCfLnKMj3HvJDCXyW
"12120382831",5,"2n5gVJ9fzeX2SSWlLQuyS9",Long,Fight Night,Migos,No Label II,https://i.scdn.co/image/ab67616d0000b273c0f275798fc87a26c3d3c5e4,"2014-06-03",https://open.spotify.com/track/2n5gVJ9fzeX2SSWlLQuyS9
"12153521253",5,"5wyfaZpVP0lAuEWG9xJ3yA",Long,Fly on the Wall,Joey Pecoraro,Little Pear,https://i.scdn.co/image/ab67616d0000b273445f840f8df41ad4f1a35320,"2015-08-14",https://open.spotify.com/track/5wyfaZpVP0lAuEWG9xJ3yA
"12153521253",6,"29uGke73C3JUzciyUBRrkD",Long,Finding Parking,Joey Pecoraro,Tired Boy,https://i.scdn.co/image/ab67616d0000b273a8b83e7d164d59824a2acdfa,"2017-02-22",https://open.spotify.com/track/29uGke73C3JUzciyUBRrkD
"12120382831",6,"5lw8Mgb4LyhriPIC86gV6e",Long,RNP (feat. Anderson .Paak),Cordae; Anderson .Paak,The Lost Boy,https://i.scdn.co/image/ab67616d0000b273e6d6d392a66a7f9172fe57c8,"2019-07-26",https://open.spotify.com/track/5lw8Mgb4LyhriPIC86gV6e
"12120382831",7,"6gpcs5eMhJwax4mIfKDYQk",Long,Slide (feat. Frank Ocean & Migos),Calvin Harris; Frank Ocean; Migos,Slide (feat. Frank Ocean & Migos),https://i.scdn.co/image/ab67616d0000b2731e439ac0ed08d612808f7122,"2017-02-24",https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
"12153521253",7,"1pvGWSvIXr8PTk8nC4SnXK",Long,Helplessly,Tatiana Manaois,Helplessly,https://i.scdn.co/image/ab67616d0000b2733a2214630cc9638b8cb1cd1e,"2014-03-23",https://open.spotify.com/track/1pvGWSvIXr8PTk8nC4SnXK
"12153521253",8,"1TPLsNVlofwX1txcE9gZZF",Long,We Find Love,Daniel Caesar,Freudian,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,"2017-08-25",https://open.spotify.com/track/1TPLsNVlofwX1txcE9gZZF
"12120382831",8,"74ZovzRxHBvCq5yIwe8boh",Long,OKRA,"Tyler, The Creator",OKRA,https://i.scdn.co/image/ab67616d0000b2733b27e6c345d24628bf25d7e4,"2018-03-30",https://open.spotify.com/track/74ZovzRxHBvCq5yIwe8boh
"12153521253",9,"4D8UvvJUIapsaZZSLqXrKP",Long,Don't Be a Fool,Joey Pecoraro,Music for Happiness,https://i.scdn.co/image/ab67616d0000b2738e4ce6c6c693f33ef0526d06,"2018-04-06",https://open.spotify.com/track/4D8UvvJUIapsaZZSLqXrKP
"12120382831",9,"5z24Bwwfp6xtCh7sSvCOJi",Long,Icha Gicha (feat. Pharrell Williams),Kap G; Pharrell Williams,SupaJefe,https://i.scdn.co/image/ab67616d0000b273df9e868f8c75fada32146422,"2017-04-14",https://open.spotify.com/track/5z24Bwwfp6xtCh7sSvCOJi
"12120382831",10,"4JY5s40ymnG18f6wxQtzPw",Long,珊瑚海,Jay Chou; Lara Liang,"11月的蕭邦",https://i.scdn.co/image/ab67616d0000b27352667a927da106f60947413a,"2005-11-01",https://open.spotify.com/track/4JY5s40ymnG18f6wxQtzPw
"12153521253",10,"7zFXmv6vqI4qOt4yGf3jYZ",Long,Get You (feat. Kali Uchis),Daniel Caesar; Kali Uchis,Freudian,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,"2017-08-25",https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
"12120382831",11,"2xLMifQCjDGFmkHkpNLD9h",Long,SICKO MODE,Travis Scott,ASTROWORLD,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,"2018-08-03",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
"12153521253",11,"6Vg3QC5UcpdAcGXgUqkjIX",Long,If You Ever Come Back,The Script,Science & Faith,https://i.scdn.co/image/ab67616d0000b273ecf57b6803b6f913217bf15c,"2010-09-10",https://open.spotify.com/track/6Vg3QC5UcpdAcGXgUqkjIX
"12153521253",12,"7vf0v8oiStZKGVqB5gpt3V",Long,Ask for Love,Joey Pecoraro,Ask for Love,https://i.scdn.co/image/ab67616d0000b273632c9ceb6db13135476d8667,"2017-11-16",https://open.spotify.com/track/7vf0v8oiStZKGVqB5gpt3V
"12120382831",12,"1BuZAIO8WZpavWVbbq3Lci",Long,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd; Swae Lee; Slim Jxmmi; Juicy J,SR3MM,https://i.scdn.co/image/ab67616d0000b273ba9015f4504a9dfd7560bfa9,"2018-05-04",https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
"12153521253",13,"22jnEneSABg4vRCR1vow7F",Long,Violet,Daniel Caesar,Violet,https://i.scdn.co/image/ab67616d0000b2739865e5fe5d0691d600678542,"2015-07-01",https://open.spotify.com/track/22jnEneSABg4vRCR1vow7F
"12120382831",13,"2aPTvyE09vUCRwVvj0I8WK",Long,Sundress,A$AP Rocky,Sundress,https://i.scdn.co/image/ab67616d0000b2731ae967e4a02c7a39eb3c189b,"2018-11-20",https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK
"12120382831",14,"6wo37KVqFJhtuxPTpLCcfe",Long,Takeaway (feat. Lennon Stella),The Chainsmokers; ILLENIUM; Lennon Stella,World War Joy...Takeaway,https://i.scdn.co/image/ab67616d0000b273830ba1c24fc9e3d59517e5ec,"2019-07-24",https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
"12153521253",14,"0bBgXH6mybXjdngxKF5zBE",Long,Piece Of Mind,Kehlani,SweetSexySavage (Deluxe),https://i.scdn.co/image/ab67616d0000b27343515daa8b28e0978efe9543,"2017-01-27",https://open.spotify.com/track/0bBgXH6mybXjdngxKF5zBE
"12120382831",15,"4dVpf9jZjcORqGTLUaeYj9",Long,Plain Jane,A$AP Ferg,Still Striving,https://i.scdn.co/image/ab67616d0000b273d79cfa3155b50beb5dbeeb9a,"2017-08-18",https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
"12153521253",15,"69x16JmnJxuLVP9ELBoY03",Long,i,Kendrick Lamar,i,https://i.scdn.co/image/ab67616d0000b27323cda30eecf48f0c8262dce4,"2014-09-23",https://open.spotify.com/track/69x16JmnJxuLVP9ELBoY03
"12120382831",16,"1E6elLT25P95eXVMshcXZq",Long,The Blanguage,Young Thug; Metro Boomin,Street Is Watching (The Mix-Tape),https://i.scdn.co/image/ab67616d0000b2739d91c063159249ef92580c01,"2014",https://open.spotify.com/track/1E6elLT25P95eXVMshcXZq
"12153521253",16,"1HNkqx9Ahdgi1Ixy2xkKkL",Long,Photograph,Ed Sheeran,x (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,"2014-06-21",https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
"12120382831",17,"0b9oOr2ZgvyQu88wzixux9",Long,This Is America,Childish Gambino,This Is America,https://i.scdn.co/image/ab67616d0000b2733504664c17b7b99a3cb7d116,"2018-05-06",https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
"12153521253",17,"4U5ovGD4My7MOISvUEtYaf",Long,Campfire,Aminé; Injury Reserve,Campfire,https://i.scdn.co/image/ab67616d0000b27368337cb971cce6299c224f8e,"2018-04-06",https://open.spotify.com/track/4U5ovGD4My7MOISvUEtYaf
"12120382831",18,"6fwdbPMwP1zVStm8FybmkO",Long,X (feat. Future),"21 Savage; Metro Boomin; Future",Savage Mode,https://i.scdn.co/image/ab67616d0000b2732dd1ac4a61495080ef8f78ca,"2016-07-15",https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
